height,weight,label
194,98,fat
150,124,fat
143,81,fat
145,115,fat
181,106,fat
165,89,fat
149,79,fat
170,73,fat
145,121,fat
149,37,thin
161,118,fat
179,39,thin
165,48,thin
120,107,fat
168,91,fat
191,40,thin
142,63,fat
158,50,normal
171,85,fat
141,95,fat
158,89,fat
148,47,normal
138,124,fat
182,99,fat
148,130,fat
133,97,fat
172,110,fat
141,118,fat
139,45,normal
154,76,fat
159,95,fat
156,40,thin
172,42,thin
152,80,fat
170,127,fat
162,84,fat
145,45,normal
175,126,fat
165,124,fat
150,55,normal
142,41,normal
169,110,fat
158,116,fat
140,117,fat
155,100,fat
133,113,fat
187,52,thin
174,56,thin
129,60,fat
192,122,fat
144,69,fat
175,45,thin
165,115,fat
132,64,fat
163,80,fat
183,102,fat
159,89,fat
149,103,fat
144,97,fat
167,107,fat
166,95,fat
178,85,fat
170,66,normal
122,120,fat
154,77,fat
188,110,fat
165,40,thin
199,93,normal
127,41,fat
121,42,fat
125,95,fat
171,77,fat
138,76,fat
152,76,fat
195,69,thin
178,54,thin
138,65,fat
157,109,fat
135,46,fat
197,61,thin
146,35,thin
163,117,fat
140,118,fat
156,90,fat
192,56,thin
142,116,fat
199,69,thin
149,54,normal
175,130,fat
132,90,fat
150,60,fat
122,124,fat
151,54,normal
139,54,fat
140,73,fat
151,51,normal
131,103,fat
185,37,thin
188,51,thin
129,114,fat
175,65,normal
138,113,fat
187,121,fat
173,94,fat
195,120,fat
195,66,thin
161,94,fat
122,47,fat
155,61,fat
187,82,normal
143,52,fat
187,121,fat
164,63,normal
163,50,normal
189,113,fat
177,91,fat
134,50,fat
140,43,normal
182,72,normal
122,120,fat
128,116,fat
167,88,fat
173,41,thin
178,67,normal
129,73,fat
165,98,fat
199,61,thin
198,71,thin
135,72,fat
160,109,fat
141,79,fat
142,73,fat
126,40,fat
140,59,fat
173,69,normal
157,66,fat
187,85,normal
144,117,fat
157,68,fat
155,52,normal
130,82,fat
135,99,fat
179,78,normal
134,114,fat
172,82,fat
181,82,fat
182,92,fat
170,83,fat
136,124,fat
175,124,fat
147,119,fat
183,124,fat
176,70,normal
200,67,thin
170,57,normal
141,107,fat
139,53,fat
142,62,fat
200,107,fat
157,88,fat
189,91,fat
161,89,fat
170,49,thin
188,83,normal
163,84,fat
158,69,fat
146,72,fat
198,41,thin
128,63,fat
190,58,thin
138,63,fat
164,102,fat
189,102,fat
175,85,fat
169,76,fat
196,103,fat
193,92,normal
194,60,thin
124,108,fat
172,87,fat
126,87,fat
171,85,fat
143,123,fat
177,66,normal
178,96,fat
160,86,fat
136,56,fat
134,71,fat
173,80,fat
177,63,normal
145,64,fat
124,110,fat
138,40,normal
180,69,normal
135,109,fat
183,68,normal
176,79,fat
169,38,thin
200,88,normal
162,130,fat
126,73,fat
186,36,thin
139,75,fat
154,52,normal
185,93,fat
147,91,fat
195,121,fat
150,113,fat
156,124,fat
155,56,normal
153,110,fat
129,53,fat
166,110,fat
176,48,thin
122,71,fat
195,60,thin
157,79,fat
159,95,fat
132,51,fat
197,44,thin
157,124,fat
137,126,fat
151,37,thin
162,67,fat
195,120,fat
159,48,normal
200,82,normal
132,105,fat
171,72,normal
194,86,normal
124,109,fat
136,115,fat
126,121,fat
147,37,thin
154,44,normal
161,87,fat
159,53,normal
192,96,fat
130,58,fat
123,79,fat
192,38,thin
185,59,thin
125,120,fat
163,60,normal
187,43,thin
144,130,fat
178,110,fat
188,35,thin
199,53,thin
176,57,thin
188,87,normal
133,108,fat
120,35,normal
121,117,fat
178,77,normal
177,74,normal
164,100,fat
155,37,thin
149,122,fat
147,76,fat
195,58,thin
127,60,fat
187,100,fat
196,120,fat
126,101,fat
194,122,fat
179,86,fat
186,81,normal
130,37,normal
182,58,thin
138,80,fat
148,71,fat
148,35,thin
136,54,fat
133,45,fat
129,89,fat
177,81,fat
158,58,normal
174,99,fat
153,63,fat
175,101,fat
147,64,fat
197,36,thin
134,115,fat
159,70,fat
147,109,fat
170,60,normal
160,95,fat
120,41,fat
166,92,fat
168,90,fat
193,43,thin
158,99,fat
142,48,normal
134,102,fat
161,94,fat
127,44,fat
173,42,thin
142,117,fat
148,41,normal
161,81,fat
137,114,fat
132,121,fat
167,121,fat
184,97,fat
141,50,fat
171,94,fat
165,77,fat
166,64,normal
133,84,fat
163,87,fat
178,60,normal
131,58,fat
151,105,fat
131,43,fat
187,111,fat
170,105,fat
170,122,fat
177,42,thin
179,122,fat
156,112,fat
190,50,thin
161,69,fat
190,130,fat
122,61,fat
167,109,fat
150,65,fat
190,85,normal
150,84,fat
190,83,normal
144,105,fat
159,91,fat
161,83,fat
130,113,fat
181,107,fat
193,56,thin
134,43,normal
186,62,thin
166,40,thin
148,114,fat
143,81,fat
166,92,fat
195,41,thin
148,99,fat
199,78,normal
121,59,fat
173,67,normal
146,45,normal
190,42,thin
167,41,thin
156,45,thin
162,55,normal
179,43,thin
179,39,thin
187,102,fat
194,46,thin
175,97,fat
192,92,normal
155,114,fat
169,121,fat
199,100,fat
168,75,fat
164,118,fat
181,57,thin
152,121,fat
180,68,normal
148,53,normal
154,124,fat
143,43,normal
128,79,fat
133,109,fat
126,107,fat
128,107,fat
167,49,thin
121,61,fat
152,98,fat
149,120,fat
133,52,fat
167,44,thin
183,49,thin
196,75,normal
178,93,fat
133,116,fat
142,128,fat
182,108,fat
154,117,fat
144,46,normal
171,89,fat
125,85,fat
169,71,normal
131,95,fat
144,53,fat
151,87,fat
163,105,fat
161,92,fat
167,89,fat
196,45,thin
173,79,fat
131,55,fat
154,94,fat
175,120,fat
173,105,fat
157,75,fat
197,106,fat
176,79,fat
175,68,normal
165,52,normal
121,62,fat
164,73,fat
137,83,fat
134,96,fat
199,122,fat
189,69,normal
176,76,normal
125,121,fat
176,127,fat
144,74,fat
142,42,normal
120,45,fat
179,61,normal
151,108,fat
153,53,normal
189,94,fat
124,38,normal
176,45,thin
160,130,fat
188,92,fat
193,82,normal
122,98,fat
162,130,fat
145,55,fat
134,44,normal
174,102,fat
165,90,fat
194,83,normal
187,94,fat
176,41,thin
124,53,fat
193,55,thin
143,123,fat
153,107,fat
133,44,normal
158,44,thin
152,72,fat
148,108,fat
124,75,fat
151,41,thin
172,82,fat
165,54,normal
144,57,fat
121,105,fat
154,117,fat
147,91,fat
186,85,normal
147,49,normal
189,128,fat
167,98,fat
177,103,fat
136,71,fat
173,77,fat
180,48,thin
186,57,thin
122,43,fat
133,95,fat
141,87,fat
120,81,fat
156,124,fat
168,82,fat
183,95,fat
188,63,thin
124,54,fat
143,38,normal
120,126,fat
190,63,thin
151,103,fat
175,80,fat
135,118,fat
127,61,fat
177,69,normal
173,56,normal
144,125,fat
121,107,fat
195,61,thin
147,51,normal
171,72,normal
197,81,normal
141,92,fat
200,126,fat
152,62,fat
139,65,fat
150,62,fat
172,49,thin
138,119,fat
134,75,fat
194,77,normal
127,63,fat
136,45,normal
153,105,fat
144,87,fat
145,77,fat
194,123,fat
123,61,fat
188,97,fat
133,65,fat
139,109,fat
181,77,normal
169,65,normal
187,126,fat
150,121,fat
177,94,fat
148,48,normal
129,83,fat
196,56,thin
186,121,fat
121,77,fat
121,105,fat
158,77,fat
187,129,fat
143,102,fat
134,45,fat
162,113,fat
122,104,fat
122,75,fat
125,47,fat
125,93,fat
198,84,normal
181,83,fat
131,70,fat
143,99,fat
159,43,thin
154,97,fat
143,78,fat
181,82,fat
155,85,fat
134,75,fat
142,78,fat
185,91,fat
134,67,fat
154,99,fat
130,70,fat
188,84,normal
149,59,fat
192,73,normal
169,106,fat
127,72,fat
160,130,fat
180,86,fat
158,123,fat
180,80,normal
127,66,fat
133,109,fat
181,111,fat
138,124,fat
193,49,thin
133,37,normal
178,100,fat
171,63,normal
163,55,normal
138,61,fat
154,60,fat
147,101,fat
173,78,fat
155,108,fat
129,48,fat
192,68,thin
162,57,normal
169,82,fat
191,111,fat
155,98,fat
130,121,fat
163,61,normal
135,59,fat
158,108,fat
158,49,normal
148,79,fat
128,62,fat
185,59,thin
158,91,fat
178,37,thin
138,65,fat
154,108,fat
132,94,fat
139,45,normal
156,122,fat
130,68,fat
123,90,fat
200,114,fat
189,95,fat
183,43,thin
186,89,fat
143,114,fat
125,95,fat
189,77,normal
146,109,fat
193,89,normal
196,49,thin
154,100,fat
192,79,normal
163,36,thin
135,76,fat
120,83,fat
182,91,fat
176,36,thin
138,79,fat
129,113,fat
123,112,fat
149,63,fat
155,111,fat
164,107,fat
181,91,fat
183,126,fat
185,58,thin
143,61,fat
180,122,fat
144,130,fat
195,95,normal
133,68,fat
121,68,fat
146,76,fat
121,84,fat
149,123,fat
136,98,fat
197,47,thin
133,42,normal
121,101,fat
161,95,fat
135,55,fat
130,124,fat
181,77,normal
195,117,fat
165,99,fat
133,125,fat
155,35,thin
184,81,normal
174,120,fat
142,64,fat
161,40,thin
122,79,fat
166,55,normal
159,99,fat
169,84,fat
154,118,fat
200,37,thin
179,48,thin
177,115,fat
134,57,fat
194,100,fat
139,64,fat
138,68,fat
140,100,fat
168,98,fat
181,50,thin
157,78,fat
167,113,fat
129,56,fat
181,44,thin
122,48,fat
144,104,fat
137,51,fat
152,94,fat
185,96,fat
176,93,fat
178,53,thin
140,97,fat
120,99,fat
156,129,fat
135,111,fat
164,129,fat
151,120,fat
123,62,fat
185,101,fat
121,93,fat
161,56,normal
160,127,fat
139,66,fat
175,106,fat
161,37,thin
138,117,fat
122,52,fat
149,47,normal
168,90,fat
157,113,fat
172,43,thin
134,73,fat
165,109,fat
149,114,fat
140,67,fat
147,101,fat
161,69,fat
136,70,fat
198,75,normal
158,52,normal
184,124,fat
195,68,thin
189,98,fat
164,50,normal
168,88,fat
135,115,fat
183,68,normal
193,88,normal
179,85,fat
122,119,fat
139,120,fat
191,56,thin
149,55,normal
159,57,normal
178,74,normal
123,89,fat
130,124,fat
185,72,normal
140,95,fat
192,113,fat
182,125,fat
153,73,fat
152,50,normal
199,78,normal
144,87,fat
121,120,fat
161,83,fat
200,95,normal
141,101,fat
131,106,fat
144,57,fat
200,123,fat
153,59,fat
123,56,fat
159,91,fat
189,93,fat
156,57,normal
142,97,fat
186,127,fat
156,55,normal
151,120,fat
196,56,thin
142,64,fat
151,38,thin
149,56,fat
132,97,fat
177,98,fat
135,71,fat
122,38,fat
137,63,fat
130,109,fat
128,82,fat
144,85,fat
146,86,fat
159,55,normal
145,70,fat
166,115,fat
182,99,fat
169,57,normal
174,92,fat
159,98,fat
177,89,fat
147,52,normal
200,74,normal
147,58,fat
123,80,fat
184,118,fat
141,73,fat
152,88,fat
139,114,fat
194,64,thin
147,42,normal
173,39,thin
122,43,fat
128,85,fat
145,48,normal
157,110,fat
200,84,normal
151,93,fat
145,92,fat
188,59,thin
143,53,fat
177,85,fat
134,118,fat
170,48,thin
166,105,fat
132,55,fat
177,55,thin
191,123,fat
192,115,fat
143,91,fat
167,85,fat
136,60,fat
145,80,fat
171,94,fat
126,38,normal
144,69,fat
191,94,fat
170,56,normal
165,74,fat
193,55,thin
150,52,normal
169,82,fat
138,99,fat
172,79,fat
132,117,fat
153,123,fat
179,47,thin
156,55,normal
152,73,fat
152,126,fat
139,124,fat
129,123,fat
124,81,fat
195,85,normal
154,75,fat
161,129,fat
164,125,fat
199,92,normal
137,44,normal
143,36,thin
121,85,fat
125,60,fat
189,67,normal
134,78,fat
120,107,fat
167,66,normal
130,113,fat
187,129,fat
183,67,normal
146,74,fat
124,75,fat
158,121,fat
180,68,normal
174,109,fat
164,101,fat
162,47,thin
144,104,fat
166,80,fat
125,128,fat
167,43,thin
171,58,normal
143,95,fat
145,99,fat
179,77,normal
126,92,fat
200,36,thin
161,67,fat
132,76,fat
124,83,fat
133,115,fat
188,69,normal
187,123,fat
139,60,fat
170,60,normal
164,97,fat
171,39,thin
198,99,fat
174,43,thin
137,46,normal
193,74,normal
132,128,fat
139,94,fat
192,53,thin
122,97,fat
140,56,fat
156,129,fat
200,125,fat
181,86,fat
134,98,fat
126,58,fat
122,62,fat
199,89,normal
149,122,fat
164,89,fat
140,115,fat
189,96,fat
180,102,fat
145,127,fat
155,74,fat
133,46,fat
123,39,fat
160,42,thin
147,88,fat
159,98,fat
185,51,thin
164,103,fat
163,90,fat
148,109,fat
134,64,fat
141,41,normal
154,75,fat
172,98,fat
197,111,fat
174,117,fat
159,114,fat
168,41,thin
185,88,fat
133,109,fat
125,67,fat
165,71,fat
141,100,fat
130,58,fat
180,128,fat
182,47,thin
138,113,fat
175,101,fat
122,61,fat
134,92,fat
192,88,normal
193,90,normal
200,54,thin
172,35,thin
136,109,fat
192,94,fat
161,85,fat
158,107,fat
136,97,fat
133,123,fat
132,91,fat
164,123,fat
156,76,fat
197,106,fat
147,67,fat
187,128,fat
121,82,fat
128,106,fat
154,111,fat
182,85,fat
194,42,thin
158,40,thin
157,53,normal
125,35,normal
160,52,normal
122,38,fat
186,90,fat
174,93,fat
124,92,fat
155,99,fat
180,120,fat
148,125,fat
130,58,fat
155,89,fat
196,76,normal
199,124,fat
129,120,fat
193,51,thin
199,39,thin
193,101,fat
120,39,fat
199,96,normal
177,78,normal
190,116,fat
190,105,fat
164,69,fat
159,81,fat
126,54,fat
158,36,thin
150,82,fat
181,68,normal
134,78,fat
164,90,fat
129,112,fat
126,62,fat
159,75,fat
193,76,normal
191,39,thin
140,129,fat
130,57,fat
188,46,thin
182,93,fat
160,106,fat
131,66,fat
196,125,fat
171,51,thin
176,67,normal
152,36,thin
139,51,fat
131,41,normal
140,130,fat
123,46,fat
156,56,normal
176,50,thin
154,81,fat
187,70,normal
131,113,fat
191,36,thin
125,85,fat
143,56,fat
178,60,normal
186,47,thin
145,84,fat
142,74,fat
182,95,fat
190,102,fat
156,66,fat
193,101,fat
170,61,normal
138,78,fat
166,60,normal
143,78,fat
125,108,fat
121,42,fat
191,112,fat
121,69,fat
127,77,fat
169,98,fat
124,116,fat
135,95,fat
144,113,fat
138,99,fat
158,45,thin
133,80,fat
173,93,fat
125,43,fat
171,77,fat
181,82,fat
158,128,fat
173,79,fat
176,113,fat
132,104,fat
137,64,fat
181,109,fat
157,115,fat
134,60,fat
192,127,fat
146,89,fat
145,83,fat
200,68,thin
120,116,fat
164,73,fat
147,49,normal
140,119,fat
191,122,fat
143,67,fat
162,110,fat
137,99,fat
122,128,fat
181,94,fat
184,78,normal
182,96,fat
125,115,fat
163,41,thin
154,62,fat
153,49,normal
176,95,fat
138,88,fat
129,107,fat
187,111,fat
168,63,normal
137,106,fat
199,122,fat
148,117,fat
157,108,fat
180,93,fat
179,72,normal
185,66,normal
140,112,fat
143,102,fat
191,130,fat
199,120,fat
158,46,thin
121,46,fat
123,42,fat
120,109,fat
198,38,thin
140,64,fat
198,68,thin
198,39,thin
167,123,fat
126,47,fat
176,53,thin
190,75,normal
158,50,normal
167,100,fat
161,130,fat
126,61,fat
135,116,fat
144,90,fat
166,62,normal
176,92,fat
180,47,thin
193,76,normal
162,123,fat
190,72,normal
127,39,normal
169,98,fat
164,128,fat
188,121,fat
190,61,thin
180,107,fat
195,62,thin
154,115,fat
183,86,fat
123,81,fat
188,88,normal
182,56,thin
139,126,fat
123,41,fat
147,36,thin
179,115,fat
196,114,fat
159,108,fat
128,70,fat
130,80,fat
131,97,fat
173,95,fat
142,79,fat
137,72,fat
191,61,thin
148,37,thin
160,47,thin
129,72,fat
183,83,normal
156,44,thin
191,125,fat
129,116,fat
164,85,fat
146,58,fat
179,89,fat
185,99,fat
190,121,fat
164,126,fat
138,93,fat
148,80,fat
150,38,thin
183,120,fat
131,67,fat
127,78,fat
160,60,normal
163,86,fat
182,53,thin
161,39,thin
159,79,fat
154,122,fat
177,95,fat
187,67,normal
142,99,fat
172,69,normal
196,119,fat
179,60,normal
150,127,fat
126,52,fat
148,44,normal
128,113,fat
149,92,fat
199,125,fat
121,72,fat
150,95,fat
148,100,fat
152,43,normal
178,110,fat
198,70,thin
189,39,thin
156,96,fat
136,89,fat
134,104,fat
133,92,fat
138,92,fat
131,36,normal
164,127,fat
184,100,fat
163,71,fat
174,115,fat
175,54,thin
127,110,fat
179,74,normal
195,130,fat
136,48,fat
169,121,fat
146,110,fat
162,36,thin
190,127,fat
181,40,thin
179,49,thin
129,71,fat
137,50,fat
167,35,thin
131,107,fat
162,45,thin
189,36,thin
178,122,fat
184,44,thin
151,63,fat
199,124,fat
179,69,normal
179,101,fat
181,96,fat
158,112,fat
135,74,fat
143,91,fat
186,106,fat
147,66,fat
166,111,fat
192,59,thin
134,124,fat
178,67,normal
137,92,fat
194,64,thin
189,46,thin
155,48,normal
178,39,thin
128,87,fat
125,38,normal
182,57,thin
167,86,fat
193,36,thin
155,43,thin
167,107,fat
143,96,fat
173,49,thin
194,103,fat
137,96,fat
149,79,fat
180,122,fat
164,69,fat
138,118,fat
185,53,thin
132,37,normal
124,41,fat
164,121,fat
139,81,fat
176,116,fat
127,118,fat
150,54,normal
137,66,fat
167,115,fat
146,58,fat
168,94,fat
120,58,fat
167,109,fat
189,81,normal
122,101,fat
135,125,fat
164,117,fat
132,50,fat
140,96,fat
149,126,fat
161,43,thin
186,60,thin
198,36,thin
175,57,normal
172,91,fat
180,47,thin
125,95,fat
132,68,fat
172,111,fat
171,112,fat
142,85,fat
122,68,fat
199,118,fat
172,102,fat
150,37,thin
156,51,normal
169,38,thin
184,72,normal
159,52,normal
166,66,normal
138,110,fat
143,64,fat
181,35,thin
191,110,fat
197,78,normal
185,73,normal
153,97,fat
188,39,thin
129,120,fat
199,40,thin
195,97,fat
151,54,normal
126,120,fat
196,80,normal
154,41,thin
179,83,fat
180,128,fat
176,125,fat
164,77,fat
163,66,normal
157,123,fat
181,78,normal
183,130,fat
178,49,thin
143,86,fat
125,68,fat
178,85,fat
139,77,fat
142,37,thin
126,62,fat
179,120,fat
160,102,fat
167,77,fat
190,116,fat
145,96,fat
133,51,fat
156,93,fat
140,104,fat
173,52,thin
190,101,fat
193,89,normal
127,74,fat
130,62,fat
122,66,fat
120,89,fat
147,72,fat
193,122,fat
153,130,fat
172,102,fat
123,82,fat
160,44,thin
172,124,fat
159,77,fat
135,51,fat
124,43,fat
120,112,fat
142,71,fat
127,103,fat
177,49,thin
165,60,normal
150,94,fat
169,45,thin
176,66,normal
198,129,fat
141,86,fat
121,52,fat
156,95,fat
164,53,normal
193,65,thin
174,75,normal
189,39,thin
190,83,normal
163,86,fat
183,129,fat
144,80,fat
156,54,normal
172,49,thin
192,98,fat
133,65,fat
136,62,fat
161,42,thin
192,92,normal
164,99,fat
153,46,normal
183,101,fat
184,127,fat
197,122,fat
164,70,fat
161,36,thin
181,37,thin
136,92,fat
196,129,fat
168,48,thin
176,41,thin
147,108,fat
131,122,fat
125,121,fat
170,66,normal
192,69,normal
144,76,fat
174,39,thin
151,116,fat
147,44,normal
130,84,fat
132,105,fat
123,52,fat
188,113,fat
161,86,fat
172,61,normal
200,113,fat
125,35,normal
174,81,fat
154,107,fat
198,44,thin
174,66,normal
159,85,fat
128,79,fat
130,101,fat
161,108,fat
194,56,thin
152,90,fat
172,61,normal
186,60,thin
125,82,fat
127,89,fat
139,100,fat
192,81,normal
199,90,normal
198,54,thin
200,44,thin
192,82,normal
127,92,fat
141,66,fat
151,63,fat
184,119,fat
135,77,fat
170,118,fat
171,60,normal
197,80,normal
154,82,fat
167,91,fat
148,46,normal
142,84,fat
126,94,fat
182,42,thin
191,80,normal
146,97,fat
199,77,normal
190,36,thin
123,78,fat
182,40,thin
194,120,fat
125,116,fat
198,90,normal
140,38,normal
176,87,fat
122,42,fat
168,86,fat
171,104,fat
156,92,fat
162,129,fat
159,117,fat
150,38,thin
161,115,fat
135,101,fat
194,98,fat
142,51,fat
193,106,fat
132,69,fat
169,84,fat
186,90,fat
145,46,normal
187,95,fat
198,125,fat
136,58,fat
122,88,fat
136,119,fat
174,73,normal
192,103,fat
188,64,thin
173,78,fat
124,76,fat
172,86,fat
170,96,fat
154,55,normal
188,51,thin
150,74,fat
161,75,fat
125,58,fat
139,89,fat
121,40,fat
174,65,normal
184,66,normal
152,112,fat
155,59,normal
172,120,fat
166,110,fat
174,45,thin
176,38,thin
153,96,fat
163,67,fat
168,112,fat
200,108,fat
123,83,fat
125,100,fat
121,47,fat
126,69,fat
200,61,thin
145,113,fat
168,113,fat
148,118,fat
189,85,normal
149,91,fat
164,85,fat
135,54,fat
182,53,thin
170,77,fat
131,100,fat
171,45,thin
134,78,fat
174,122,fat
138,43,normal
169,113,fat
174,90,fat
148,51,normal
159,37,thin
169,129,fat
148,122,fat
135,35,normal
149,111,fat
162,112,fat
169,79,fat
171,54,thin
146,100,fat
198,70,thin
182,62,normal
143,39,normal
148,117,fat
121,106,fat
122,36,normal
181,102,fat
168,48,thin
196,83,normal
192,38,thin
179,82,fat
187,52,thin
125,94,fat
127,65,fat
200,106,fat
151,113,fat
126,50,fat
198,61,thin
161,56,normal
132,124,fat
190,112,fat
190,115,fat
200,70,thin
193,103,fat
170,42,thin
150,58,fat
126,41,fat
159,63,normal
171,129,fat
155,41,thin
126,77,fat
138,76,fat
157,124,fat
127,75,fat
152,97,fat
167,76,fat
199,53,thin
175,129,fat
161,92,fat
150,43,normal
160,129,fat
159,106,fat
161,85,fat
129,55,fat
165,70,fat
163,86,fat
122,50,fat
126,53,fat
163,80,fat
197,39,thin
190,90,normal
145,82,fat
194,35,thin
195,52,thin
192,77,normal
169,120,fat
143,111,fat
122,40,fat
155,82,fat
153,59,fat
152,85,fat
185,99,fat
192,87,normal
176,123,fat
192,82,normal
174,79,fat
188,66,normal
149,48,normal
188,74,normal
182,39,thin
133,48,fat
131,73,fat
170,100,fat
131,42,normal
180,82,fat
187,77,normal
182,65,normal
166,50,thin
140,104,fat
128,100,fat
134,112,fat
132,58,fat
193,51,thin
165,41,thin
130,120,fat
180,73,normal
197,114,fat
135,51,fat
151,81,fat
168,50,thin
150,64,fat
132,99,fat
120,93,fat
163,121,fat
150,81,fat
179,82,fat
120,105,fat
148,125,fat
170,57,normal
176,50,thin
165,73,fat
185,57,thin
139,96,fat
145,50,normal
150,48,normal
170,43,thin
187,48,thin
199,86,normal
150,47,normal
126,112,fat
145,102,fat
139,100,fat
173,108,fat
121,116,fat
191,103,fat
176,117,fat
145,55,fat
192,43,thin
150,56,normal
164,57,normal
160,95,fat
196,61,thin
186,52,thin
132,81,fat
123,104,fat
137,45,normal
142,100,fat
185,63,thin
173,46,thin
190,41,thin
128,46,fat
176,47,thin
193,52,thin
158,112,fat
188,121,fat
193,59,thin
189,55,thin
183,89,fat
150,74,fat
158,122,fat
192,51,thin
167,124,fat
191,126,fat
146,118,fat
133,83,fat
163,43,thin
159,86,fat
181,73,normal
184,101,fat
187,42,thin
198,101,fat
185,39,thin
157,75,fat
142,83,fat
156,61,fat
165,40,thin
169,70,normal
181,91,fat
121,84,fat
200,103,fat
132,103,fat
198,125,fat
164,45,thin
125,129,fat
134,36,normal
175,102,fat
179,91,fat
133,127,fat
146,113,fat
186,85,normal
157,127,fat
149,117,fat
123,108,fat
147,110,fat
193,114,fat
138,71,fat
165,56,normal
145,80,fat
121,41,fat
132,36,normal
175,122,fat
174,121,fat
195,126,fat
144,67,fat
123,103,fat
190,107,fat
168,41,thin
137,129,fat
139,59,fat
139,54,fat
180,61,normal
182,65,normal
133,127,fat
199,79,normal
149,124,fat
170,71,normal
121,58,fat
164,53,normal
123,40,fat
136,44,normal
121,49,fat
174,92,fat
194,64,thin
174,70,normal
139,61,fat
177,125,fat
120,45,fat
133,86,fat
194,122,fat
132,71,fat
166,115,fat
147,66,fat
158,36,thin
186,121,fat
161,92,fat
125,70,fat
131,109,fat
188,93,fat
177,115,fat
147,99,fat
126,108,fat
140,86,fat
192,59,thin
158,95,fat
132,114,fat
144,54,fat
177,55,thin
187,83,normal
129,129,fat
178,36,thin
127,54,fat
184,122,fat
199,113,fat
141,70,fat
165,101,fat
180,63,normal
122,105,fat
136,128,fat
161,88,fat
131,105,fat
177,75,normal
161,49,normal
131,71,fat
181,39,thin
187,79,normal
196,59,thin
163,102,fat
172,129,fat
125,49,fat
120,50,fat
152,53,normal
189,77,normal
153,90,fat
128,78,fat
152,65,fat
155,101,fat
188,105,fat
155,90,fat
143,54,fat
150,78,fat
153,109,fat
168,112,fat
182,103,fat
143,36,thin
157,99,fat
193,117,fat
180,103,fat
159,128,fat
145,109,fat
137,97,fat
177,104,fat
200,81,normal
134,116,fat
131,110,fat
128,79,fat
133,79,fat
154,101,fat
154,70,fat
150,36,thin
121,104,fat
172,59,normal
178,44,thin
149,82,fat
170,122,fat
139,92,fat
142,52,fat
176,44,thin
135,45,normal
123,77,fat
170,77,fat
138,46,normal
192,67,thin
172,119,fat
155,71,fat
200,44,thin
184,129,fat
172,70,normal
183,102,fat
161,74,fat
181,87,fat
159,89,fat
200,50,thin
175,48,thin
139,42,normal
126,88,fat
161,43,thin
151,61,fat
197,45,thin
127,37,normal
138,91,fat
168,83,fat
128,77,fat
132,65,fat
186,37,thin
152,40,thin
160,73,fat
122,93,fat
129,128,fat
158,55,normal
167,126,fat
171,37,thin
131,44,fat
152,69,fat
162,48,thin
155,129,fat
191,55,thin
179,108,fat
127,68,fat
122,37,normal
169,84,fat
126,76,fat
173,35,thin
189,39,thin
176,93,fat
185,114,fat
125,113,fat
123,68,fat
138,105,fat
183,35,thin
123,102,fat
164,35,thin
155,47,normal
127,111,fat
150,35,thin
121,88,fat
129,64,fat
194,63,thin
163,89,fat
122,105,fat
141,57,fat
148,78,fat
162,64,normal
176,40,thin
153,79,fat
180,83,fat
140,77,fat
137,121,fat
137,60,fat
131,37,normal
125,106,fat
121,123,fat
169,83,fat
194,123,fat
197,81,normal
200,125,fat
186,53,thin
154,71,fat
197,71,thin
200,67,thin
124,66,fat
182,96,fat
